источник,предмет,классы,сезон,этап,тип,файл,папка
ВсОШ,phys,7,2017-18,муниципальный,задачи,tasks-phys-7-mun-msk-17-8.pdf,deploy/всош/2017-18/mun/физика
ВсОШ,russ,11,2017-18,заключительный,прочее,90-tasks-russ-11-tur2-final-17-8.pdf,deploy/всош/2017-18/final/русский
ВсОШ,russ,11,2017-18,заключительный,прочее,90-ans-russ-11-tur2-final-17-8.pdf,deploy/всош/2017-18/final/русский
ВсОШ,russ,9,2017-18,заключительный,прочее,90-ans-russ-9-tur1-final-17-8.pdf,deploy/всош/2017-18/final/русский
ВсОШ,russ,11,2017-18,заключительный,прочее,90-tasks-russ-11-tur1-final-17-8.pdf,deploy/всош/2017-18/final/русский
ВсОШ,russ,10,2017-18,заключительный,прочее,90-tasks-russ-10-tur1-final-17-8.pdf,deploy/всош/2017-18/final/русский
ВсОШ,russ,11,2017-18,заключительный,прочее,90-ans-russ-11-tur1-final-17-8.pdf,deploy/всош/2017-18/final/русский
ВсОШ,russ,10,2017-18,заключительный,прочее,90-ans-russ-10-tur1-final-17-8.pdf,deploy/всош/2017-18/final/русский
ВсОШ,russ,10,2017-18,заключительный,прочее,90-ans-russ-9-10-tur2-final-17-8.pdf,deploy/всош/2017-18/final/русский
ВсОШ,russ,10,2017-18,заключительный,прочее,90-tasks-russ-9-10-tur2-final-17-8.pdf,deploy/всош/2017-18/final/русский
ВсОШ,russ,9,2017-18,заключительный,прочее,90-tasks-russ-9-tur1-final-17-8.pdf,deploy/всош/2017-18/final/русский
ВсОШ,iikt,"9,11",2017-18,заключительный,прочее,73-ans-iikt-9-11-final-17-8.pdf,deploy/всош/2017-18/final/информатика
ВсОШ,iikt,"9,11",2017-18,заключительный,прочее,73-tasks-iikt-9-11-final-17-8.pdf,deploy/всош/2017-18/final/информатика
ВсОШ,chem,9,2017-18,заключительный,прочее,76-ans-chem-9-teor1-final-17-8.pdf,deploy/всош/2017-18/final/химия
ВсОШ,chem,11,2017-18,заключительный,прочее,76-tasks-chem-11-teor1-final-17-8.pdf,deploy/всош/2017-18/final/химия
ВсОШ,chem,"9,11",2017-18,заключительный,прочее,76-ans-chem-9-11-teor2-final-17-8.pdf,deploy/всош/2017-18/final/химия
ВсОШ,chem,9,2017-18,заключительный,прочее,76-tasks-chem-9-prak-final-17-8.pdf,deploy/всош/2017-18/final/химия
ВсОШ,chem,11,2017-18,заключительный,прочее,76-ans-chem-11-teor1-final-17-8.pdf,deploy/всош/2017-18/final/химия
ВсОШ,chem,10,2017-18,заключительный,прочее,76-tasks-chem-10-teor1-final-17-8.pdf,deploy/всош/2017-18/final/химия
ВсОШ,chem,9,2017-18,заключительный,прочее,76-ans-chem-9-prak-final-17-8.pdf,deploy/всош/2017-18/final/химия
ВсОШ,chem,10,2017-18,заключительный,прочее,76-ans-chem-10-teor1-final-17-8.pdf,deploy/всош/2017-18/final/химия
ВсОШ,chem,9,2017-18,заключительный,прочее,76-tasks-chem-9-teor1-final-17-8.pdf,deploy/всош/2017-18/final/химия
ВсОШ,chem,10,2017-18,заключительный,прочее,76-tasks-chem-9-11-teor2-final-17-8.pdf,deploy/всош/2017-18/final/химия
ВсОШ,math,9,2017-18,заключительный,прочее,72-ans-math-9-final-17-8.pdf,deploy/всош/2017-18/final/математика
ВсОШ,math,9,2017-18,заключительный,прочее,72-tasks-math-9-final-17-8.pdf,deploy/всош/2017-18/final/математика
ВсОШ,phys,9,2017-18,заключительный,прочее,74-tasks-phys-9-teor-final-17-8.pdf,deploy/всош/2017-18/final/физика
ВсОШ,phys,9,2017-18,заключительный,прочее,74-tasks-phys-9-prak-final-17-8.pdf,deploy/всош/2017-18/final/физика
ВсОШ,phys,9,2017-18,заключительный,прочее,74-ans-phys-9-prak-final-17-8.pdf,deploy/всош/2017-18/final/физика
ВсОШ,phys,9,2017-18,заключительный,прочее,74-ans-phys-9-teor-final-17-8.pdf,deploy/всош/2017-18/final/физика
ВсОШ,russ,4,2017-18,школьный,ответы,ans-russ-4-msk-sch-17-8.pdf,deploy/всош/2017-18/school/русский
ВсОШ,russ,5,2017-18,школьный,задачи,tasks-russ-5-msk-sch-17-8.pdf,deploy/всош/2017-18/school/русский
ВсОШ,russ,5,2017-18,школьный,ответы,ans-russ-5-msk-sch-17-8.pdf,deploy/всош/2017-18/school/русский
ВсОШ,russ,4,2017-18,школьный,задачи,tasks-russ-4-msk-sch-17-8.pdf,deploy/всош/2017-18/school/русский
ВсОШ,russ,8,2017-18,школьный,задачи,tasks-russ-8-msk-sch-17-8.pdf,deploy/всош/2017-18/school/русский
ВсОШ,russ,9,2017-18,школьный,ответы,ans-russ-9-msk-sch-17-8.pdf,deploy/всош/2017-18/school/русский
ВсОШ,russ,7,2017-18,школьный,задачи,tasks-russ-7-msk-sch-17-8.pdf,deploy/всош/2017-18/school/русский
